21916	
	(0.3022976738,0)	(-0.03132396695,0)	(0.0007054293067,0)	(0,-0.04005500224)	(-0.05848876609,0)
	(0.003819184345,0)	(0,-0.06858965347)	(-0.02445565137,0)	(0.000937558705,0)	(0,-0.02746253374)
	(2.314216334e-034,0)	(3.309657022e-033,0)	(0,2.72042842e-034)	(-0.0465683443,0)	(0.002371651342,0)
	(0,-0.05858369135)	(-0.04446603676,0)	(0.002301782808,0)	(0,-0.04979870864)	(0.3008736812,0)
	(1.285126668e-034,0)	(1.921767139e-033,0)	(0,1.598634616e-034)	(0.2816512897,0)	(-0.02882423042,0)
	(0.002718421922,0)	(0,-0.04812876917)	(-0.02658397411,0)	(0.0005861414622,0)	(0,-0.0387551125)
	(-0.05645546165,0)	(0.004067444416,0)	(0,-0.07289678706)	(-0.01436949108,0)	(0.00287476922,0)
	(0,-0.04730286372)	(0.2667572574,0)	(-0.03775222346,0)	(0.002319761124,0)	(0,-0.05112961099)
	(0.0007666652301,0)	(0.01475200327,0)	(0,-0.0285427286)	(-0.02978146001,0)	(-0.002174120526,0)
	(0,-0.05571548891)	(-0.0327142416,0)	(-0.03093001518,0)	(0,-0.01849300849)	(-2.401453077e-033,0)
	(1.071360233e-033,0)	(0,3.386625988e-034)	(-0.02404835097,0)	(-0.02449882625,0)	(0,-0.02044571163)
	(-4.998461388e-034,0)	(8.243670116e-034,0)	(0,4.91954986e-034)	(0.0365058114,0)	(1.337071233e-034,0)
	(3.968462501e-033,0)	(0,1.616121539e-034)	(0.3851387577,0)	(-0.05548002595,0)	(-0.07339680038,0)
	(0,-0.03136979679)	(-0.05160490578,0)	(-0.02088550068,0)	(0,-0.01859733947)	(-0.03537887386,0)
	(0.006243111951,0)	(0,-0.03525448805)	(-0.03329491997,0)	(-0.04128152376,0)	(0,-0.01364947186)
	(6.83194451e-034,0)	(4.850039052e-033,0)	(0,1.30534874e-034)	(-9.415209753e-034,0)	(1.661778547e-033,0)
	(0,2.52510996e-034)	(0.1465729225,0)	(-0.07244938334,0)	(0.02992395122,0)	(0,-0.09032687573)
	(-0.01925350855,0)	(0.01657176087,0)	(0,-0.06891269785)	(-0.02975285562,0)	(0.02074545518,0)
	(0,-0.07210389116)	(-0.02286768983,0)	(0.01742912374,0)	(0,-0.06014107053)	(0.3644924508,0)
	(-0.01647444445,0)	(0.01408146761,0)	(0,-0.05104502832)	(-0.0361652953,0)	(0.02377277373,0)
	(0,-0.08252752378)	(0.3591985142,0)	(-0.04813007994,0)	(0.02691185039,0)	(0,-0.08569302893)
	(-0.03428122435,0)	(0.02508046505,0)	(0,-0.0946236431)	(-0.02564524452,0)	(0.02010073971,0)
	(0,-0.08033226707)	(-0.04512951565,0)	(0.02823322201,0)	(0,-0.09600991865)	(-0.0555609759,0)
	(0.03101677828,0)	(0,-0.09933936601)	(-0.06031720666,0)	(0.02920941499,0)	(0,-0.08904684114)
	(0.3556818242,0)	(-0.01088556127,0)	(0.009971075083,0)	(0,-0.04095654974)	(0.3785388731,0)
	(-0.008000001227,0)	(0.00703236081,0)	(0,-0.02359971483)	(-0.006628734266,0)	(0.006874239521,0)
	(0,-0.04107387104)	(-0.01372596451,0)	(0.01309472654,0)	(0,-0.06070028952)	(5.885233216e-034,0)
	(-2.021202038e-035,0)	(0,6.82554814e-035)	(-0.004519687576,0)	(0.004810363081,0)	(0,-0.02367615869)
	(2.384506118e-034,0)	(1.072172591e-034,0)	(0,1.138883248e-034)	(0.3726021558,0)	(-0.09318028529,0)
	(0.01568956057,0)	(0,-0.08059289978)	(-0.08483078617,0)	(0.02602672695,0)	(0,-0.08495872554)
