18332	
	(-0.01395982312,0.0009975507219)	(-0.05329865505,-0.0008505027324)	(-0.01421996633,0.001053278184)	(-0.05703504179,-0.001399033933)	(-0.0121794203,0.0007390759639)
	(-0.05560855398,-0.002073105956)	(-0.01055045801,0.0004823530649)	(-0.04762163162,-0.001511624269)	(0.02294115479,-0.001494949844)	(-5.416736819e-034,-2.615027524e-035)
	(7.287083083e-034,-4.714934152e-035)	(-0.004384469981,0.0005739059197)	(-0.009023917645,0.001102424348)	(-0.005307743424,0.000837452685)	(-0.009935464998,0.001468186359)
	(-2.520279091e-034,-1.263109239e-035)	(3.568697264e-034,-2.392928272e-035)	(0.07325771454,9.774776878e-005)	(-0.006567929254,0.0009926671683)	(-0.01275607141,0.001756707528)
	(-0.01203510625,0.001470077254)	(-0.02789667506,0.002517486376)	(-0.01243806256,0.001847630859)	(-0.02600211485,0.003092300865)	(-0.007974065308,0.0008340235061)
	(-0.01890675583,0.001596458271)	(0.05526596456,-0.0008702326287)	(-0.01011589198,0.001521485723)	(-0.02045115494,0.002621552522)	(-0.008029325298,0.00093678551)
	(-0.01788973186,0.001758507805)	(-0.008151269595,0.001066603485)	(-0.01721738979,0.001941955823)	(0.06519190174,-0.0006801530694)	(-0.01209542068,0.001619520575)
	(-0.02658740951,0.002762616886)	(-0.01445900811,0.002446420159)	(-0.02890206677,0.003900912721)	(-0.01402692692,0.001232097338)	(-0.06788578808,-0.003412680905)
	(-0.0157314064,0.001408098276)	(-0.06384990807,-0.001930169388)	(-0.0172433251,0.001865773491)	(-0.07052778938,-0.002532307305)	(-0.01353145295,0.001027903425)
	(-0.06256695199,-0.002680933865)	(0.02262180547,-0.001619184414)	(-0.01761333639,0.002107978129)	(-0.07493758038,-0.003290627373)	(-0.01425009428,0.001425580996)
	(-0.07263332948,-0.004178782858)	(0.01996281792,-0.001531686695)	(-0.01722899781,0.002251597666)	(-0.07933518788,-0.004386683986)	(-0.01442977212,0.001754555602)
	(-0.07936174401,-0.005348131419)	(-0.01118538546,0.0009400254536)	(-0.07003594711,-0.004672160894)	(-0.003494754522,0.0001698486903)	(-0.06185202653,-0.00491807078)
	(0.005165858154,-0.0003941087401)	(-0.005750642348,0.0003417276302)	(-0.06469993332,-0.005006956557)	(-0.005176362884,0.0004323886697)	(-0.07294682456,-0.006126492834)
	(-0.00191809053,0.0001134862873)	(-0.06606623865,-0.005502609567)	(-0.008201120718,0.0005841648838)	(-0.06772747781,-0.005005355771)	(0.01149720779,-0.0008780920362)
