18332	
	(6.865763351e-035,-1.618342777e-035)	(-7.485088455e-035,8.185285434e-036)	(8.227698494e-035,-1.623114282e-035)	(-6.924275645e-035,7.953909259e-036)	(7.887586815e-035,-1.648718029e-035)
	(-0.000407685994,0.0001106685343)	(-0.0008697677427,0.0002400940825)	(-3.3286786e-035,3.78999358e-036)	(3.906576437e-035,-8.572502959e-036)	(0.008827380569,-0.001318062922)
	(-0.0004163542118,0.0001185231908)	(-0.0009918161585,0.0002879495452)	(-3.60202e-035,4.058947478e-036)	(4.025928862e-035,-8.184814422e-036)	(0.009491720122,-0.001366243715)
	(-0.0003998144459,0.0001108220979)	(-0.0008784156135,0.0002477712633)	(-0.0007812016706,0.0002737032982)	(-0.005929842754,0.002284515476)	(0.002752874217,-0.0004711555517)
	(-0.0007424632739,0.0002615753951)	(-0.006418076915,0.002509208647)	(-0.0009928762494,0.000347248716)	(-0.006738111892,0.002637267068)	(-0.0009079358793,0.0003156054137)
	(-0.005795246598,0.002211931261)	(-0.0009397744866,0.0003305744638)	(-0.007149096208,0.002838425552)	(-0.0001492699033,5.321354053e-005)	(-0.00605567631,0.00237504651)
	(-0.0004662860916,0.0001661135693)	(-0.007188517851,0.002886576956)	(-0.0006892213768,0.0002449835501)	(-0.007647409206,0.003099844263)	(-0.000922734569,0.0003264171661)
	(-0.007822492219,0.00317431525)	(-0.0004703585058,0.0001669999637)	(-0.00631249003,0.002478892734)	(-0.000689232352,0.0002438959489)	(-0.006876007758,0.002726226901)
	(0.002083093425,-0.0003543977135)	(-0.0002800171184,9.959547085e-005)	(-0.005717517087,0.00222269696)	(0.001049806067,-0.0001843629554)	(-0.0002975338146,0.0001062121881)
	(-0.006862348822,0.002738811728)	(-1.188760584e-033,6.257018413e-034)	(-0.007692434078,0.003141115566)	(-0.0001353289546,4.844876411e-005)	(-0.007143598927,0.002874216439)
	(-1.594046303e-033,7.564111947e-034)	(-0.006405428976,0.002532834585)	(2.544529042e-006,-1.06700674e-006)	(-0.000962731383,0.0002977021935)	(-0.002783672886,0.0009034949907)
	(-0.0007971511096,0.0002363852092)	(-0.002039082812,0.0006273841326)	(-0.0008109079968,0.0002461711533)	(-0.002219777713,0.0007007301711)	(0.007493072149,-0.001166573638)
	(-0.001144890262,0.0003469115302)	(-0.003069321048,0.0009830540259)	(-0.001167333721,0.0003464554887)	(-0.00295093206,0.0009253360486)	(-0.001224513153,0.0003900463582)
	(-0.003896078443,0.001327032094)	(-0.001095902125,0.0003447205438)	(-0.003342127636,0.001113472643)	(0.006763927499,-0.001074136761)	(-0.00142740659,0.0004455993572)
